model_name,class_name,input_size,output_size,hidden_size,num_layers,transform,mse
GRU_1_1_128_4_normalized,GRU,1,1,128,4,normalized,0.0016546046826988459
GRU_1_1_128_4_stationary,GRU,1,1,128,4,stationary,5.139634959050454e-05
GRU_1_1_256_4_normalized,GRU,1,1,256,4,normalized,0.0016685064183548093
GRU_1_1_256_4_stationary,GRU,1,1,256,4,stationary,5.194786353968084e-05
GRU_1_1_256_8_normalized,GRU,1,1,256,8,normalized,0.001670365920290351
GRU_1_1_256_8_stationary,GRU,1,1,256,8,stationary,5.1409719162620604e-05
GRU_5_1_128_4_normalized,GRU,5,1,128,4,normalized,0.0016544657992199063
GRU_5_1_128_4_stationary,GRU,5,1,128,4,stationary,5.1802286179736257e-05
GRU_5_1_256_4_normalized,GRU,5,1,256,4,normalized,0.0016473939176648855
GRU_5_1_256_4_stationary,GRU,5,1,256,4,stationary,5.1058541430393234e-05
GRU_5_1_256_8_normalized,GRU,5,1,256,8,normalized,0.0016656406223773956
GRU_5_1_256_8_stationary,GRU,5,1,256,8,stationary,5.203899854677729e-05
GRU_5_1_512_8_normalized,GRU,5,1,512,8,normalized,0.001669190009124577
GRU_5_4_128_4_normalized,GRU,5,4,128,4,normalized,0.001170952687971294
GRU_5_4_128_4_stationary,GRU,5,4,128,4,stationary,3.928810474462807e-05
GRU_5_4_256_4_normalized,GRU,5,4,256,4,normalized,0.0011731530539691448
GRU_5_4_256_4_stationary,GRU,5,4,256,4,stationary,3.886501508532092e-05
GRU_5_4_256_8_normalized,GRU,5,4,256,8,normalized,0.0012584697687998414
GRU_5_4_256_8_stationary,GRU,5,4,256,8,stationary,3.8382873754017055e-05
GRU_5_4_512_8_normalized,GRU,5,4,512,8,normalized,0.0011827184353023767
GRU_61_4_128_4_normalized,GRU,61,4,128,4,normalized,0.017480522394180298
GRU_61_4_128_4_stationary,GRU,61,4,128,4,stationary,3.992078063674853e-07
GRU_61_4_256_4_normalized,GRU,61,4,256,4,normalized,0.006503721699118614
GRU_61_4_256_4_stationary,GRU,61,4,256,4,stationary,1.1590404369599128e-07
GRU_61_4_256_8_normalized,GRU,61,4,256,8,normalized,0.002660306403413415
GRU_61_4_256_8_stationary,GRU,61,4,256,8,stationary,2.34369579743543e-07
LSTM_1_1_128_4_normalized,LSTM,1,1,128,4,normalized,0.0016730001661926508
LSTM_1_1_128_4_stationary,LSTM,1,1,128,4,stationary,5.211079042055644e-05
LSTM_1_1_256_4_normalized,LSTM,1,1,256,4,normalized,0.001671464997343719
LSTM_1_1_256_4_stationary,LSTM,1,1,256,4,stationary,5.197480641072616e-05
LSTM_1_1_256_8_normalized,LSTM,1,1,256,8,normalized,0.001685373135842383
LSTM_1_1_256_8_stationary,LSTM,1,1,256,8,stationary,5.244602289167233e-05
LSTM_5_1_128_4_normalized,LSTM,5,1,128,4,normalized,0.0016784996259957552
LSTM_5_1_128_4_stationary,LSTM,5,1,128,4,stationary,5.189496005186811e-05
LSTM_5_1_256_4_normalized,LSTM,5,1,256,4,normalized,0.0016741828294470906
LSTM_5_1_256_4_stationary,LSTM,5,1,256,4,stationary,5.1995179092045873e-05
LSTM_5_1_256_8_normalized,LSTM,5,1,256,8,normalized,0.0016685535665601492
LSTM_5_1_256_8_stationary,LSTM,5,1,256,8,stationary,5.171783777768724e-05
LSTM_5_1_512_8_normalized,LSTM,5,1,512,8,normalized,0.0706075131893158
LSTM_5_4_128_4_normalized,LSTM,5,4,128,4,normalized,0.0012196372263133526
LSTM_5_4_128_4_stationary,LSTM,5,4,128,4,stationary,3.768747046706267e-05
LSTM_5_4_256_4_normalized,LSTM,5,4,256,4,normalized,0.0012174519943073392
LSTM_5_4_256_4_stationary,LSTM,5,4,256,4,stationary,3.879504220094532e-05
LSTM_5_4_256_8_normalized,LSTM,5,4,256,8,normalized,0.0014644343173131347
LSTM_5_4_256_8_stationary,LSTM,5,4,256,8,stationary,5.241746475803666e-05
LSTM_5_4_512_8_normalized,LSTM,5,4,512,8,normalized,0.06983521580696106
LSTM_61_4_128_4_normalized,LSTM,61,4,128,4,normalized,0.00993097573518753
LSTM_61_4_128_4_stationary,LSTM,61,4,128,4,stationary,1.2881524469321448e-07
LSTM_61_4_256_4_normalized,LSTM,61,4,256,4,normalized,0.0070343781262636185
LSTM_61_4_256_4_stationary,LSTM,61,4,256,4,stationary,5.108359601990742e-08
LSTM_61_4_256_8_normalized,LSTM,61,4,256,8,normalized,0.0023294452112168074
LSTM_61_4_256_8_stationary,LSTM,61,4,256,8,stationary,1.172187751308229e-07
LSTM_tower_1_1_normalized,LSTM_dropout,1,1,256,8,normalized,0.0017428988358005881
LSTM_tower_1_1_stationary,LSTM_dropout,1,1,256,8,stationary,5.146598050487228e-05
LSTM_tower_5_1_normalized,LSTM_dropout,5,1,256,8,normalized,0.0016929280245676637
LSTM_tower_5_1_stationary,LSTM_dropout,5,1,256,8,stationary,5.2663472160929814e-05
LSTM_tower_5_4_normalized,LSTM_dropout,5,4,256,8,normalized,0.0012759441742673516
LSTM_tower_5_4_stationary,LSTM_dropout,5,4,256,8,stationary,5.034373316448182e-05
LSTM_tower_61_4_normalized,LSTM_dropout,61,4,256,8,normalized,0.0033205468207597733
LSTM_tower_61_4_stationary,LSTM_dropout,61,4,256,8,stationary,2.843129642826625e-08
